Warehouse_ID,Warehouse_Capacity_Units,Current_Inventory_Units,Inventory_Turnover_Ratio,Order_Fulfilment_Rate,Avg_Pick_Pack_Time_Min,Warehouse_Utilization_%,Labour_Hours_Per_Day,Operational_Cost_Per_Day
PLANT15,246,149,2.8190396846538275,,22,60.57,3,42.17
PLANT17,179,112,2.8190396846538275,,24,62.57,3,9.61
PLANT18,2488,2041,2.8190396846538275,,24,82.03,4,831.2
PLANT05,8631,6252,2.8190396846538275,,23,72.44,12,610.38
PLANT02,3094,1780,2.8190396846538275,,25,57.53,3,169.99
PLANT01,23990,18714,2.8190396846538275,,23,78.01,37,2122.08
PLANT06,1098,859,2.8190396846538275,,20,78.23,3,95.19
PLANT10,2645,2128,2.8190396846538275,,29,80.45,4,210.07
PLANT07,5941,3228,2.8190396846538275,,25,54.33,6,239.79
PLANT14,12308,10154,2.8190396846538275,,29,82.5,20,1288.2
PLANT16,134299,69792,0.01,100.0,28,51.97,139,26797.44
PLANT12,10200,6921,5.97,100.0,16,67.85,13,1070.17
PLANT11,7443,4578,2.8190396846538275,,29,61.51,9,508.38
PLANT09,650,401,2.99,100.0,18,61.69,3,37.3
PLANT03,22186,15904,61.92,98.14,28,71.68,31,1646.07
PLANT13,30142,16584,0.52,100.0,24,55.02,33,1557.92
PLANT19,156,104,2.8190396846538275,,24,66.67,3,13.31
PLANT08,855,462,21.87,82.19,29,54.04,3,48.31
PLANT04,5820,3920,2.8190396846538275,100.0,17,67.35,7,335.95
